timestamp,call_type,phone_number,duration,cell_id,lac,mcc,mnc,radio_type,signal_strength
2026-08-01 09:15:00,INCOMING,351910000001,120,CELL001,1001,268,01,5G,-72
2026-08-01 10:30:00,OUTGOING,351910000002,245,CELL002,1001,268,01,4G,-84
2026-08-01 11:45:00,MISSED,351910000003,0,CELL003,1002,268,01,5G,-67
2026-08-01 13:20:00,INCOMING,351910000001,90,CELL001,1001,268,01,5G,-75
2026-08-01 15:10:00,OUTGOING,351910000004,310,CELL004,1003,268,01,4G,-96
2026-08-02 08:40:00,INCOMING,351910000002,180,CELL002,1001,268,01,4G,-82
2026-08-02 12:05:00,OUTGOING,351910000005,75,CELL005,1004,268,01,5G,-65
2026-08-02 14:30:00,MISSED,351910000003,0,CELL003,1002,268,01,5G,-91
2026-08-02 17:45:00,INCOMING,351910000004,420,CELL004,1003,268,01,4G,-102
2026-08-03 09:00:00,OUTGOING,351910000001,200,CELL001,1001,268,01,5G,-70
2026-08-03 11:25:00,INCOMING,351910000005,150,CELL005,1004,268,01,5G,-63
2026-08-03 16:50:00,OUTGOING,351910000002,275,CELL002,1001,268,01,4G,-88
